accession	excluded	excluded_reason
MK118012	TRUE	reverse orientation
MK118014	TRUE	reverse orientation
MK118015	TRUE	reverse orientation
MK118017	TRUE	reverse orientation
MK118023	TRUE	reverse orientation
MK118030	TRUE	reverse orientation
MK118032	TRUE	reverse orientation
MK118034	TRUE	reverse orientation
MK118035	TRUE	reverse orientation
MK118036	TRUE	reverse orientation
MK118037	TRUE	reverse orientation
MK118038	TRUE	reverse orientation
MK656390	TRUE	reverse orientation
MK656391	TRUE	reverse orientation
MK656392	TRUE	reverse orientation
MK656393	TRUE	reverse orientation
MK656394	TRUE	reverse orientation
MK656395	TRUE	reverse orientation
MK656396	TRUE	reverse orientation
MK656397	TRUE	reverse orientation
MK656398	TRUE	reverse orientation
MK656399	TRUE	reverse orientation
MK656400	TRUE	reverse orientation
MK656401	TRUE	reverse orientation
MK656402	TRUE	reverse orientation
MK656414	TRUE	reverse orientation
MK656415	TRUE	reverse orientation
MK656416	TRUE	reverse orientation
MK656417	TRUE	reverse orientation
MK656418	TRUE	reverse orientation
MK656419	TRUE	reverse orientation
MK656420	TRUE	reverse orientation
MK656421	TRUE	reverse orientation
MK656422	TRUE	reverse orientation
MK656423	TRUE	reverse orientation
MK656424	TRUE	reverse orientation
MK656425	TRUE	reverse orientation
MK656426	TRUE	reverse orientation
U63094	TRUE	reverse orientation
KF478765	TRUE	reverse orientation
KF478766	TRUE	reverse orientation
KF478767	TRUE	reverse orientation
KF478768	TRUE	reverse orientation
KF478769	TRUE	reverse orientation
KM821773	TRUE	reverse orientation
KM821775	TRUE	reverse orientation
KM821777	TRUE	reverse orientation
KM821781	TRUE	reverse orientation
KM821783	TRUE	reverse orientation
KM821785	TRUE	reverse orientation
KM821787	TRUE	reverse orientation
KM821789	TRUE	reverse orientation
KM821792	TRUE	reverse orientation
KM821796	TRUE	reverse orientation
KM821798	TRUE	reverse orientation
KM821800	TRUE	reverse orientation
KM821802	TRUE	reverse orientation
KM821804	TRUE	reverse orientation
KM821806	TRUE	reverse orientation
KM821808	TRUE	reverse orientation
KM821810	TRUE	reverse orientation
KM821812	TRUE	reverse orientation
KM821814	TRUE	reverse orientation
KM821815	TRUE	reverse orientation
KM821816	TRUE	reverse orientation
KM821818	TRUE	reverse orientation
KM821820	TRUE	reverse orientation
KM821822	TRUE	reverse orientation
KM821824	TRUE	reverse orientation
KM821826	TRUE	reverse orientation
KM821828	TRUE	reverse orientation
KM821830	TRUE	reverse orientation
KM821832	TRUE	reverse orientation
KM821835	TRUE	reverse orientation
KM821837	TRUE	reverse orientation
KM821839	TRUE	reverse orientation
KM821841	TRUE	reverse orientation
KM821845	TRUE	reverse orientation
KM821847	TRUE	reverse orientation
KM821848	TRUE	reverse orientation
KM821850	TRUE	reverse orientation
KM821852	TRUE	reverse orientation
KM821854	TRUE	reverse orientation
KM821856	TRUE	reverse orientation
KM821857	TRUE	reverse orientation
KM821859	TRUE	reverse orientation
KM821861	TRUE	reverse orientation
KM821863	TRUE	reverse orientation
KM821865	TRUE	reverse orientation
KM821867	TRUE	reverse orientation
KM821869	TRUE	reverse orientation
KM821871	TRUE	reverse orientation
KM821872	TRUE	reverse orientation
KM821874	TRUE	reverse orientation
KM821876	TRUE	reverse orientation
KM821877	TRUE	reverse orientation
KM821878	TRUE	reverse orientation
KM821880	TRUE	reverse orientation
KM821882	TRUE	reverse orientation
KM821884	TRUE	reverse orientation
KM821885	TRUE	reverse orientation
KM821886	TRUE	reverse orientation
KM821889	TRUE	reverse orientation
KM821890	TRUE	reverse orientation
KM821892	TRUE	reverse orientation
KM821894	TRUE	reverse orientation
KM821895	TRUE	reverse orientation
KM821897	TRUE	reverse orientation
KM821899	TRUE	reverse orientation
KM821900	TRUE	reverse orientation
KM821902	TRUE	reverse orientation
KM821904	TRUE	reverse orientation
KM821906	TRUE	reverse orientation
KM821907	TRUE	reverse orientation
KM821909	TRUE	reverse orientation
KM821910	TRUE	reverse orientation
KM821912	TRUE	reverse orientation
KM821914	TRUE	reverse orientation
KM821916	TRUE	reverse orientation
KM821918	TRUE	reverse orientation
KM821920	TRUE	reverse orientation
KM821922	TRUE	reverse orientation
KM821924	TRUE	reverse orientation
KM821927	TRUE	reverse orientation
KM821929	TRUE	reverse orientation
KM821931	TRUE	reverse orientation
KM821933	TRUE	reverse orientation
KM821935	TRUE	reverse orientation
KM821937	TRUE	reverse orientation
KM821939	TRUE	reverse orientation
KM821941	TRUE	reverse orientation
KM821943	TRUE	reverse orientation
KM821945	TRUE	reverse orientation
KM821949	TRUE	reverse orientation
KM821951	TRUE	reverse orientation
KM821953	TRUE	reverse orientation
KM821955	TRUE	reverse orientation
KM821957	TRUE	reverse orientation
KM821959	TRUE	reverse orientation
KM821961	TRUE	reverse orientation
KM821963	TRUE	reverse orientation
KM821965	TRUE	reverse orientation
KM821967	TRUE	reverse orientation
KM821969	TRUE	reverse orientation
KM821971	TRUE	reverse orientation
KM821972	TRUE	reverse orientation
KM821976	TRUE	reverse orientation
KM821979	TRUE	reverse orientation
KM821982	TRUE	reverse orientation
KM821984	TRUE	reverse orientation
KM821986	TRUE	reverse orientation
KM821988	TRUE	reverse orientation
KM821990	TRUE	reverse orientation
KM821992	TRUE	reverse orientation
KM821994	TRUE	reverse orientation
KM821996	TRUE	reverse orientation
KM821998	TRUE	reverse orientation
KM822000	TRUE	reverse orientation
KM822002	TRUE	reverse orientation
KM822004	TRUE	reverse orientation
KM822006	TRUE	reverse orientation
KM822008	TRUE	reverse orientation
KM822010	TRUE	reverse orientation
KM822012	TRUE	reverse orientation
KM822014	TRUE	reverse orientation
KM822016	TRUE	reverse orientation
KM822018	TRUE	reverse orientation
KM822020	TRUE	reverse orientation
KM822022	TRUE	reverse orientation
KM822023	TRUE	reverse orientation
KM822025	TRUE	reverse orientation
KM822027	TRUE	reverse orientation
KM822029	TRUE	reverse orientation
KM822031	TRUE	reverse orientation
KM822033	TRUE	reverse orientation
KM822035	TRUE	reverse orientation
KM822037	TRUE	reverse orientation
KM822039	TRUE	reverse orientation
KM822041	TRUE	reverse orientation
KM822043	TRUE	reverse orientation
KM822045	TRUE	reverse orientation
KM822047	TRUE	reverse orientation
KM822049	TRUE	reverse orientation
KM822051	TRUE	reverse orientation
KM822053	TRUE	reverse orientation
KM822055	TRUE	reverse orientation
KM822057	TRUE	reverse orientation
KM822059	TRUE	reverse orientation
KM822060	TRUE	reverse orientation
KM822062	TRUE	reverse orientation
KM822063	TRUE	reverse orientation
KM822065	TRUE	reverse orientation
KM822066	TRUE	reverse orientation
KM822067	TRUE	reverse orientation
KM822069	TRUE	reverse orientation
KM822071	TRUE	reverse orientation
KM822072	TRUE	reverse orientation
KM822074	TRUE	reverse orientation
KM822076	TRUE	reverse orientation
KM822078	TRUE	reverse orientation
KM822080	TRUE	reverse orientation
KM822082	TRUE	reverse orientation
KM822084	TRUE	reverse orientation
KM822086	TRUE	reverse orientation
KM822088	TRUE	reverse orientation
KM822089	TRUE	reverse orientation
KM822091	TRUE	reverse orientation
KM822093	TRUE	reverse orientation
KM822095	TRUE	reverse orientation
KM822097	TRUE	reverse orientation
KM822099	TRUE	reverse orientation
KM822101	TRUE	reverse orientation
KM822103	TRUE	reverse orientation
KM822105	TRUE	reverse orientation
KM822107	TRUE	reverse orientation
KM822109	TRUE	reverse orientation
KM822115	TRUE	reverse orientation
KM822117	TRUE	reverse orientation
KM822120	TRUE	reverse orientation
KM822122	TRUE	reverse orientation
KM822124	TRUE	reverse orientation
KM822126	TRUE	reverse orientation
KM822128	TRUE	reverse orientation
KM822130	TRUE	reverse orientation
KM822132	TRUE	reverse orientation
KU961971	TRUE	reverse orientation
GU481068	TRUE	reverse orientation
GU481070	TRUE	reverse orientation
GU481072	TRUE	reverse orientation
GU481074	TRUE	reverse orientation
GU481076	TRUE	reverse orientation
GU481078	TRUE	reverse orientation
GU830839	TRUE	reverse orientation
HQ688672	TRUE	reverse orientation
HQ688673	TRUE	reverse orientation
LC387468	TRUE	reverse orientation
LC387470	TRUE	reverse orientation
LC387472	TRUE	reverse orientation
LC387474	TRUE	reverse orientation
LC387476	TRUE	reverse orientation
LC387478	TRUE	reverse orientation
LC387480	TRUE	reverse orientation
LC387482	TRUE	reverse orientation
LC387484	TRUE	reverse orientation
LC387486	TRUE	reverse orientation
LC387488	TRUE	reverse orientation
M15076	TRUE	reverse orientation
MF990889	TRUE	reverse orientation
MG812631	TRUE	reverse orientation
MG812632	TRUE	reverse orientation
MG812635	TRUE	reverse orientation
MG812643	TRUE	reverse orientation
MG812650	TRUE	reverse orientation
MG812657	TRUE	reverse orientation
MG812661	TRUE	reverse orientation
MG812665	TRUE	reverse orientation
MG812669	TRUE	reverse orientation
MG812673	TRUE	reverse orientation
MG812675	TRUE	reverse orientation
MG812679	TRUE	reverse orientation
MG812681	TRUE	reverse orientation
MG812685	TRUE	reverse orientation
MH053463	TRUE	reverse orientation
MH053468	TRUE	reverse orientation
MH053470	TRUE	reverse orientation
MH053472	TRUE	reverse orientation
MH053474	TRUE	reverse orientation
MH053475	TRUE	reverse orientation
MH053476	TRUE	reverse orientation
MH053478	TRUE	reverse orientation
MH053480	TRUE	reverse orientation
MH053482	TRUE	reverse orientation
MH053483	TRUE	reverse orientation
MH053484	TRUE	reverse orientation
MH053485	TRUE	reverse orientation
MH053487	TRUE	reverse orientation
MH053488	TRUE	reverse orientation
MH053491	TRUE	reverse orientation
MH053493	TRUE	reverse orientation
MH053497	TRUE	reverse orientation
MH053498	TRUE	reverse orientation
MH053501	TRUE	reverse orientation
MH053502	TRUE	reverse orientation
MH053506	TRUE	reverse orientation
MH053511	TRUE	reverse orientation
MH053513	TRUE	reverse orientation
MH053514	TRUE	reverse orientation
MH053518	TRUE	reverse orientation
MH053522	TRUE	reverse orientation
MH053526	TRUE	reverse orientation
MH053527	TRUE	reverse orientation
MH053528	TRUE	reverse orientation
MH053531	TRUE	reverse orientation
MH053533	TRUE	reverse orientation
MH053536	TRUE	reverse orientation
MH053537	TRUE	reverse orientation
MH053538	TRUE	reverse orientation
MH053544	TRUE	reverse orientation
MH053545	TRUE	reverse orientation
MH053551	TRUE	reverse orientation
MH053552	TRUE	reverse orientation
MH053553	TRUE	reverse orientation
MH053554	TRUE	reverse orientation
MH053557	TRUE	reverse orientation
MH053559	TRUE	reverse orientation
MH053560	TRUE	reverse orientation
MH053561	TRUE	reverse orientation
MH053562	TRUE	reverse orientation
MH053564	TRUE	reverse orientation
MH053567	TRUE	reverse orientation
MH053572	TRUE	reverse orientation
MH053573	TRUE	reverse orientation
MH053574	TRUE	reverse orientation
MH053575	TRUE	reverse orientation
MH053576	TRUE	reverse orientation
MH053577	TRUE	reverse orientation
MH053578	TRUE	reverse orientation
MH053580	TRUE	reverse orientation
MH053582	TRUE	reverse orientation
MH053584	TRUE	reverse orientation
MH053586	TRUE	reverse orientation
MH053588	TRUE	reverse orientation
MH053589	TRUE	reverse orientation
MH157028	TRUE	reverse orientation
MH157030	TRUE	reverse orientation
MH157032	TRUE	reverse orientation
MH157034	TRUE	reverse orientation
MH157035	TRUE	reverse orientation
MH157037	TRUE	reverse orientation
MH157038	TRUE	reverse orientation
MH157041	TRUE	reverse orientation
MH157044	TRUE	reverse orientation
MH157045	TRUE	reverse orientation
MH157046	TRUE	reverse orientation
MH157050	TRUE	reverse orientation
MH157052	TRUE	reverse orientation
MH215279	TRUE	reverse orientation
MH215281	TRUE	reverse orientation
MH215283	TRUE	reverse orientation
MH215285	TRUE	reverse orientation
MH215287	TRUE	reverse orientation
MH215289	TRUE	reverse orientation
MH887755	TRUE	reverse orientation
MH887757	TRUE	reverse orientation
MH887758	TRUE	reverse orientation
MH887759	TRUE	reverse orientation
MH887760	TRUE	reverse orientation
MH887761	TRUE	reverse orientation
MH887762	TRUE	reverse orientation
MH887763	TRUE	reverse orientation
MH887764	TRUE	reverse orientation
MH887765	TRUE	reverse orientation
MH887766	TRUE	reverse orientation
MH887767	TRUE	reverse orientation
MH887768	TRUE	reverse orientation
MH887769	TRUE	reverse orientation
MH887770	TRUE	reverse orientation
MH887771	TRUE	reverse orientation
MH887772	TRUE	reverse orientation
MH887773	TRUE	reverse orientation
MH887774	TRUE	reverse orientation
MH887775	TRUE	reverse orientation
MH887776	TRUE	reverse orientation
MH887777	TRUE	reverse orientation
MH887778	TRUE	reverse orientation
MH887779	TRUE	reverse orientation
MH887780	TRUE	reverse orientation
MH887781	TRUE	reverse orientation
MH887782	TRUE	reverse orientation
MH887783	TRUE	reverse orientation
MH887784	TRUE	reverse orientation
MH887785	TRUE	reverse orientation
MH887786	TRUE	reverse orientation
MH887787	TRUE	reverse orientation
MH887788	TRUE	reverse orientation
MH887789	TRUE	reverse orientation
MH887790	TRUE	reverse orientation
MH887791	TRUE	reverse orientation
MH887792	TRUE	reverse orientation
MH887793	TRUE	reverse orientation
MH887794	TRUE	reverse orientation
MH887795	TRUE	reverse orientation
MH887796	TRUE	reverse orientation
MH887797	TRUE	reverse orientation
MH887798	TRUE	reverse orientation
MH887799	TRUE	reverse orientation
MH887800	TRUE	reverse orientation
MH887801	TRUE	reverse orientation
MH887802	TRUE	reverse orientation
MH887803	TRUE	reverse orientation
MH887804	TRUE	reverse orientation
MH887805	TRUE	reverse orientation
MH887806	TRUE	reverse orientation
MH887807	TRUE	reverse orientation
MH887808	TRUE	reverse orientation
MH887809	TRUE	reverse orientation
MH887810	TRUE	reverse orientation
MH887811	TRUE	reverse orientation
MH887812	TRUE	reverse orientation
MH887813	TRUE	reverse orientation
MH887814	TRUE	reverse orientation
MH887815	TRUE	reverse orientation
MH887816	TRUE	reverse orientation
MH887817	TRUE	reverse orientation
MH887818	TRUE	reverse orientation
MH887819	TRUE	reverse orientation
MH887820	TRUE	reverse orientation
MH887821	TRUE	reverse orientation
MH887822	TRUE	reverse orientation
MH887823	TRUE	reverse orientation
MH887824	TRUE	reverse orientation
MH887825	TRUE	reverse orientation
MH887826	TRUE	reverse orientation
MH887827	TRUE	reverse orientation
MH887828	TRUE	reverse orientation
MH887829	TRUE	reverse orientation
MH887830	TRUE	reverse orientation
MH887831	TRUE	reverse orientation
MH887832	TRUE	reverse orientation
MH887833	TRUE	reverse orientation
MH887834	TRUE	reverse orientation
MH887835	TRUE	reverse orientation
MH887836	TRUE	reverse orientation
MH887837	TRUE	reverse orientation
MH887838	TRUE	reverse orientation
MH887839	TRUE	reverse orientation
MH887840	TRUE	reverse orientation
MH887841	TRUE	reverse orientation
MH887842	TRUE	reverse orientation
MH887843	TRUE	reverse orientation
MH887844	TRUE	reverse orientation
MH887845	TRUE	reverse orientation
MH887846	TRUE	reverse orientation
MH887847	TRUE	reverse orientation
MH887848	TRUE	reverse orientation
MH887849	TRUE	reverse orientation
MH887850	TRUE	reverse orientation
MH887851	TRUE	reverse orientation
MH887852	TRUE	reverse orientation
MH887853	TRUE	reverse orientation
MH887854	TRUE	reverse orientation
MH887855	TRUE	reverse orientation
MH887856	TRUE	reverse orientation
MH887857	TRUE	reverse orientation
MH887858	TRUE	reverse orientation
MH887859	TRUE	reverse orientation
MH887860	TRUE	reverse orientation
MH887861	TRUE	reverse orientation
MH887862	TRUE	reverse orientation
MH887863	TRUE	reverse orientation
MH887864	TRUE	reverse orientation
MH887865	TRUE	reverse orientation
MH887866	TRUE	reverse orientation
MH887867	TRUE	reverse orientation
MH887868	TRUE	reverse orientation
MH887869	TRUE	reverse orientation
MH887870	TRUE	reverse orientation
MH887871	TRUE	reverse orientation
MH887872	TRUE	reverse orientation
MH887873	TRUE	reverse orientation
MH887874	TRUE	reverse orientation
MH887875	TRUE	reverse orientation
MH887876	TRUE	reverse orientation
MH887877	TRUE	reverse orientation
MH887878	TRUE	reverse orientation
MH887879	TRUE	reverse orientation
MH887880	TRUE	reverse orientation
MH887881	TRUE	reverse orientation
MH887882	TRUE	reverse orientation
MH887883	TRUE	reverse orientation
MH887884	TRUE	reverse orientation
MH887885	TRUE	reverse orientation
MH887886	TRUE	reverse orientation
MH887887	TRUE	reverse orientation
MH887888	TRUE	reverse orientation
MH887889	TRUE	reverse orientation
MH887890	TRUE	reverse orientation
MH887891	TRUE	reverse orientation
MH887892	TRUE	reverse orientation
MH887893	TRUE	reverse orientation
MH887894	TRUE	reverse orientation
MH887895	TRUE	reverse orientation
MH887896	TRUE	reverse orientation
MH887897	TRUE	reverse orientation
MK107897	TRUE	reverse orientation
MK107898	TRUE	reverse orientation
MK107899	TRUE	reverse orientation
MK107900	TRUE	reverse orientation
MK107901	TRUE	reverse orientation
MK107902	TRUE	reverse orientation
MK107903	TRUE	reverse orientation
MK107904	TRUE	reverse orientation
MK107905	TRUE	reverse orientation
MK107906	TRUE	reverse orientation
MK107907	TRUE	reverse orientation
MK107908	TRUE	reverse orientation
MK107909	TRUE	reverse orientation
MK107910	TRUE	reverse orientation
MK107911	TRUE	reverse orientation
MK107912	TRUE	reverse orientation
MK107913	TRUE	reverse orientation
MK107914	TRUE	reverse orientation
MK107915	TRUE	reverse orientation
MK107916	TRUE	reverse orientation
MK107917	TRUE	reverse orientation
MK107918	TRUE	reverse orientation
MK107919	TRUE	reverse orientation
MK107920	TRUE	reverse orientation
MK107921	TRUE	reverse orientation
MK107922	TRUE	reverse orientation
MK107923	TRUE	reverse orientation
MK107924	TRUE	reverse orientation
MK107925	TRUE	reverse orientation
MK107926	TRUE	reverse orientation
MK107927	TRUE	reverse orientation
MK107928	TRUE	reverse orientation
MK107929	TRUE	reverse orientation
MK107930	TRUE	reverse orientation
MK107931	TRUE	reverse orientation
MK107932	TRUE	reverse orientation
MK107933	TRUE	reverse orientation
MK107934	TRUE	reverse orientation
MK107935	TRUE	reverse orientation
MK107936	TRUE	reverse orientation
MK107937	TRUE	reverse orientation
MK107938	TRUE	reverse orientation
MK107939	TRUE	reverse orientation
MK107940	TRUE	reverse orientation
MK107941	TRUE	reverse orientation
MK107942	TRUE	reverse orientation
MK107943	TRUE	reverse orientation
MK107944	TRUE	reverse orientation
MK107945	TRUE	reverse orientation
MK107946	TRUE	reverse orientation
MK107947	TRUE	reverse orientation
MK107948	TRUE	reverse orientation
MK107949	TRUE	reverse orientation
MK107950	TRUE	reverse orientation
MK107951	TRUE	reverse orientation
MK107952	TRUE	reverse orientation
MK107953	TRUE	reverse orientation
MK107954	TRUE	reverse orientation
MK107955	TRUE	reverse orientation
MK107956	TRUE	reverse orientation
MK107957	TRUE	reverse orientation
MK107958	TRUE	reverse orientation
MK107959	TRUE	reverse orientation
MK107960	TRUE	reverse orientation
MK107961	TRUE	reverse orientation
MK107962	TRUE	reverse orientation
MK107963	TRUE	reverse orientation
MK107964	TRUE	reverse orientation
MK107965	TRUE	reverse orientation
MK107966	TRUE	reverse orientation
MK107967	TRUE	reverse orientation
MK107968	TRUE	reverse orientation
MK107969	TRUE	reverse orientation
MK107970	TRUE	reverse orientation
MK117846	TRUE	reverse orientation
MK117847	TRUE	reverse orientation
MK117848	TRUE	reverse orientation
MK117849	TRUE	reverse orientation
MK117851	TRUE	reverse orientation
MK117852	TRUE	reverse orientation
MK117853	TRUE	reverse orientation
MK117855	TRUE	reverse orientation
MK117856	TRUE	reverse orientation
MK117857	TRUE	reverse orientation
MK117858	TRUE	reverse orientation
MK117859	TRUE	reverse orientation
MK117860	TRUE	reverse orientation
MK117861	TRUE	reverse orientation
MK117862	TRUE	reverse orientation
MK117863	TRUE	reverse orientation
MK117864	TRUE	reverse orientation
MK117865	TRUE	reverse orientation
MK117950	TRUE	reverse orientation
MK117952	TRUE	reverse orientation
MK117953	TRUE	reverse orientation
MK117955	TRUE	reverse orientation
MK117956	TRUE	reverse orientation
MK117957	TRUE	reverse orientation
MK117960	TRUE	reverse orientation
MK117961	TRUE	reverse orientation
MK117965	TRUE	reverse orientation
MK117966	TRUE	reverse orientation
MK117967	TRUE	reverse orientation
MK117968	TRUE	reverse orientation
MK117970	TRUE	reverse orientation
MK117971	TRUE	reverse orientation
MK117972	TRUE	reverse orientation
MK117973	TRUE	reverse orientation
MK117974	TRUE	reverse orientation
MK117975	TRUE	reverse orientation
MK117976	TRUE	reverse orientation
MK117979	TRUE	reverse orientation
MK117982	TRUE	reverse orientation
MK117983	TRUE	reverse orientation
MK117984	TRUE	reverse orientation
MK117985	TRUE	reverse orientation
MK117986	TRUE	reverse orientation
MK117987	TRUE	reverse orientation
MK117988	TRUE	reverse orientation
MK117990	TRUE	reverse orientation
MK117991	TRUE	reverse orientation
MK117994	TRUE	reverse orientation
MK117996	TRUE	reverse orientation
MK117997	TRUE	reverse orientation
MK117998	TRUE	reverse orientation
MK118000	TRUE	reverse orientation
MK118002	TRUE	reverse orientation
MK118007	TRUE	reverse orientation
MK118008	TRUE	reverse orientation
MK118009	TRUE	reverse orientation
MK118010	TRUE	reverse orientation
MK118011	TRUE	reverse orientation
MK118013	TRUE	reverse orientation
MK118016	TRUE	reverse orientation
MK118018	TRUE	reverse orientation
MK118019	TRUE	reverse orientation
MK118020	TRUE	reverse orientation
MK118021	TRUE	reverse orientation
MK118022	TRUE	reverse orientation
MK118024	TRUE	reverse orientation
MK118025	TRUE	reverse orientation
MK118026	TRUE	reverse orientation
MK118027	TRUE	reverse orientation
MK118028	TRUE	reverse orientation
MK118029	TRUE	reverse orientation
MK118031	TRUE	reverse orientation
MK118033	TRUE	reverse orientation
MK118039	TRUE	reverse orientation
MK281624	TRUE	reverse orientation
