Accession	host_sci_name	gb_pubmed_id	Segment	strain	gb_length	patent_related	m49_country
KM406574	Mastomys natalensis	-	-	-	373	-	SLE
KM406575	Mastomys natalensis	-	-	-	373	-	SLE
KM406576	Mastomys natalensis	-	-	-	373	-	SLE
KM406577	Mastomys natalensis	-	-	-	373	-	SLE
KM406578	Mastomys natalensis	-	-	-	373	-	SLE
KM406579	Mastomys natalensis	-	-	-	373	-	SLE
KM406580	Mastomys natalensis	-	-	-	373	-	SLE
KM406581	Mastomys natalensis	-	-	-	373	-	SLE
KM406582	Mastomys natalensis	-	-	-	373	-	SLE
KM406583	Mastomys natalensis	-	-	-	373	-	SLE
KM406584	Mastomys natalensis	-	-	-	373	-	SLE
KM406585	Mastomys natalensis	-	-	-	373	-	SLE
KM406586	Mastomys natalensis	-	-	-	373	-	SLE
KM406587	Mastomys natalensis	-	-	-	373	-	SLE
KM406588	Mastomys natalensis	-	-	-	373	-	SLE
KM406589	Mastomys natalensis	-	-	-	373	-	SLE
KM406590	Mastomys natalensis	-	-	-	290	-	SLE
KM406591	Mastomys natalensis	-	-	-	290	-	SLE
KM406592	Mastomys natalensis	-	-	-	290	-	SLE
KM406593	Mastomys natalensis	-	-	-	290	-	SLE
KM406594	Mastomys natalensis	-	-	-	290	-	SLE
KM406595	Mastomys natalensis	-	-	-	290	-	SLE
KM406596	Mastomys natalensis	-	-	-	290	-	SLE
KM406597	Mastomys natalensis	-	-	-	291	-	SLE
KM406598	Mastomys natalensis	-	-	-	291	-	SLE
KM406599	Mastomys natalensis	-	-	-	291	-	SLE
KM406600	Mastomys natalensis	-	-	-	291	-	SLE
KM406601	Mastomys natalensis	-	-	-	291	-	SLE
KM406602	Mastomys natalensis	-	-	-	291	-	SLE
KM406603	Mastomys natalensis	-	-	-	291	-	SLE
KM406604	Mastomys natalensis	-	-	-	290	-	SLE
KM406605	Mastomys natalensis	-	-	-	291	-	SLE
KM406606	Mastomys natalensis	-	-	-	290	-	SLE
KM406607	Mastomys natalensis	-	-	-	290	-	SLE
KM406608	Mastomys natalensis	-	-	-	290	-	SLE
KM406609	Mastomys natalensis	-	-	-	290	-	SLE
KM406610	Mastomys natalensis	-	-	-	287	-	SLE
KM406611	Mastomys natalensis	-	-	-	287	-	SLE
KM406612	Mastomys natalensis	-	-	-	287	-	SLE
KM406613	Mastomys natalensis	-	-	-	287	-	SLE
KM406614	Mastomys natalensis	-	-	-	287	-	SLE
KM406615	Mastomys natalensis	-	-	-	287	-	SLE
KM406616	Mastomys natalensis	-	-	-	287	-	SLE
KM406617	Mastomys natalensis	-	-	-	287	-	SLE
KM406618	Mastomys natalensis	-	-	-	287	-	SLE
KM406619	Mastomys natalensis	-	-	-	287	-	SLE
KM406620	Mastomys natalensis	-	-	-	290	-	SLE
KM406621	Mastomys natalensis	-	-	-	290	-	SLE
KM406622	Mastomys natalensis	-	-	-	290	-	SLE
KM406623	Mastomys natalensis	-	-	-	290	-	SLE
KM821772	Homo sapiens	-	L	G502-SLE-2009	7277	-	SLE
KM821773	Homo sapiens	-	S	G502-SLE-2009	3394	-	SLE
KM821774	Homo sapiens	-	L	G503-SLE-2009	7279	-	SLE
KM821775	Homo sapiens	-	S	G503-SLE-2009	3397	-	SLE
KM821776	Homo sapiens	-	L	G610-SLE-2009	7281	-	SLE
KM821777	Homo sapiens	-	S	G610-SLE-2009	3400	-	SLE
KM821778	Homo sapiens	-	L	G636-SLE-2009	7288	-	SLE
KM821779	Homo sapiens	-	S	G636-SLE-2009	3400	-	SLE
KM821780	Homo sapiens	-	L	G676-SLE-2009	7301	-	SLE
KM821781	Homo sapiens	-	S	G676-SLE-2009	3401	-	SLE
KM821782	Homo sapiens	-	L	G692-SLE-2009	7286	-	SLE
KM821783	Homo sapiens	-	S	G692-SLE-2009	3401	-	SLE
KM821784	Homo sapiens	-	L	G693-SLE-2009	7284	-	SLE
KM821785	Homo sapiens	-	S	G693-SLE-2009	3399	-	SLE
KM821786	Homo sapiens	-	L	G733-SLE-2010	7286	-	SLE
KM821787	Homo sapiens	-	S	G733-SLE-2010	3399	-	SLE
KM821788	Homo sapiens	-	L	G771-SLE-2010	7281	-	SLE
KM821789	Homo sapiens	-	S	G771-SLE-2010	3400	-	SLE
KM821790	Homo sapiens	-	S	G806-SLE-2010	3374	-	SLE
KM821791	Homo sapiens	-	L	G808-SLE-2010	7286	-	SLE
KM821792	Homo sapiens	-	S	G808-SLE-2010	3397	-	SLE
KM821793	Homo sapiens	-	L	G1180-SLE-2010	7274	-	SLE
KM821794	Homo sapiens	-	S	G1180-SLE-2010	3395	-	SLE
KM821795	Homo sapiens	-	L	G1190-SLE-2010	7286	-	SLE
KM821796	Homo sapiens	-	S	G1190-SLE-2010	3402	-	SLE
KM821797	Homo sapiens	-	L	G1200-LIB-2010	7204	-	LBR
KM821798	Homo sapiens	-	S	G1200-LIB-2010	3402	-	LBR
KM821799	Homo sapiens	-	L	G1442-SLE-2011	7291	-	SLE
KM821800	Homo sapiens	-	S	G1442-SLE-2011	3402	-	SLE
KM821801	Homo sapiens	-	L	G1529-SLE-2011	7275	-	SLE
KM821802	Homo sapiens	-	S	G1529-SLE-2011	3401	-	SLE
KM821803	Homo sapiens	-	L	G1618-SLE-2011	7275	-	SLE
KM821804	Homo sapiens	-	S	G1618-SLE-2011	3392	-	SLE
KM821805	Homo sapiens	-	L	G1646-SLE-2011	7270	-	SLE
KM821806	Homo sapiens	-	S	G1646-SLE-2011	3394	-	SLE
KM821807	Homo sapiens	-	L	G1647-SLE-2011	7278	-	SLE
KM821808	Homo sapiens	-	S	G1647-SLE-2011	3395	-	SLE
KM821809	Homo sapiens	-	L	G1727-SLE-2011	7286	-	SLE
KM821810	Homo sapiens	-	S	G1727-SLE-2011	3400	-	SLE
KM821811	Homo sapiens	-	L	G1774-SLE-2011	7284	-	SLE
KM821812	Homo sapiens	-	S	G1774-SLE-2011	3401	-	SLE
KM821813	Homo sapiens	-	L	G1792-SLE-2011	7290	-	SLE
KM821814	Homo sapiens	-	S	G1792-SLE-2011	3397	-	SLE
KM821815	Homo sapiens	-	S	G1897-SLE-2011	3389	-	SLE
KM821816	Homo sapiens	-	S	G1932-SLE-2011	3397	-	SLE
KM821817	Homo sapiens	-	L	G1959-SLE-2011	7290	-	SLE
KM821818	Homo sapiens	-	S	G1959-SLE-2011	3402	-	SLE
