taxon	sequenceID	pubmed_id	segment	host_sci_name	isolate	country	collection_year
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821782	KM821782	-	L	Homo sapiens	G692-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821784	KM821784	-	L	Homo sapiens	G693-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821786	KM821786	-	L	Homo sapiens	G733-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821788	KM821788	-	L	Homo sapiens	G771-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821791	KM821791	-	L	Homo sapiens	G808-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821793	KM821793	-	L	Homo sapiens	G1180-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821795	KM821795	-	L	Homo sapiens	G1190-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821797	KM821797	-	L	Homo sapiens	G1200-LIB-2010	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821799	KM821799	-	L	Homo sapiens	G1442-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821801	KM821801	-	L	Homo sapiens	G1529-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821803	KM821803	-	L	Homo sapiens	G1618-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821805	KM821805	-	L	Homo sapiens	G1646-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821807	KM821807	-	L	Homo sapiens	G1647-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821809	KM821809	-	L	Homo sapiens	G1727-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821811	KM821811	-	L	Homo sapiens	G1774-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821813	KM821813	-	L	Homo sapiens	G1792-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821817	KM821817	-	L	Homo sapiens	G1959-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821819	KM821819	-	L	Homo sapiens	G1960-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821821	KM821821	-	L	Homo sapiens	G2141-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821823	KM821823	-	L	Homo sapiens	G2147-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821825	KM821825	-	L	Homo sapiens	G2165-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821827	KM821827	-	L	Homo sapiens	G2184-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821829	KM821829	-	L	Homo sapiens	G2197-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821831	KM821831	-	L	Homo sapiens	G2222-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821834	KM821834	-	L	Homo sapiens	G2259-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821836	KM821836	-	L	Homo sapiens	G2263-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821838	KM821838	-	L	Homo sapiens	G2280-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821840	KM821840	-	L	Homo sapiens	G2295-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821842	KM821842	-	L	Homo sapiens	G2315-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821844	KM821844	-	L	Homo sapiens	G2318-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821846	KM821846	-	L	Homo sapiens	G2363-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821849	KM821849	-	L	Homo sapiens	G2392-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821851	KM821851	-	L	Homo sapiens	G2405-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821853	KM821853	-	L	Homo sapiens	G2427-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821855	KM821855	-	L	Homo sapiens	G2431-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821858	KM821858	-	L	Homo sapiens	G2554-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821860	KM821860	-	L	Homo sapiens	G2557-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821862	KM821862	-	L	Homo sapiens	G2565-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821864	KM821864	-	L	Homo sapiens	G2587-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821866	KM821866	-	L	Homo sapiens	G2612-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821868	KM821868	-	L	Homo sapiens	G2615-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821870	KM821870	-	L	Homo sapiens	G2723-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821873	KM821873	-	L	Homo sapiens	G2868-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821875	KM821875	-	L	Homo sapiens	G2903-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821879	KM821879	-	L	Homo sapiens	G2944-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821881	KM821881	-	L	Homo sapiens	G3010-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821883	KM821883	-	L	Homo sapiens	G3016-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821888	KM821888	-	L	Homo sapiens	G3106-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821891	KM821891	-	L	Homo sapiens	G3148-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821893	KM821893	-	L	Homo sapiens	G3151-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821896	KM821896	-	L	Homo sapiens	G3170-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821898	KM821898	-	L	Homo sapiens	G3206-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821901	KM821901	-	L	Homo sapiens	G3229-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821903	KM821903	-	L	Homo sapiens	G3234-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821905	KM821905	-	L	Homo sapiens	G3248-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821908	KM821908	-	L	Homo sapiens	G3278-SLE-2013	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821911	KM821911	-	L	Homo sapiens	ISTH0009-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821913	KM821913	-	L	Homo sapiens	ISTH0012-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821915	KM821915	-	L	Homo sapiens	ISTH0047-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821917	KM821917	-	L	Homo sapiens	ISTH0073-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821919	KM821919	-	L	Homo sapiens	ISTH0230-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821921	KM821921	-	L	Homo sapiens	ISTH0531-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821923	KM821923	-	L	Homo sapiens	ISTH0595-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821926	KM821926	-	L	Homo sapiens	ISTH1003-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821928	KM821928	-	L	Homo sapiens	ISTH1038-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821930	KM821930	-	L	Homo sapiens	ISTH1048-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821932	KM821932	-	L	Homo sapiens	ISTH1058-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821934	KM821934	-	L	Homo sapiens	ISTH1064-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821936	KM821936	-	L	Homo sapiens	ISTH1069-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821938	KM821938	-	L	Homo sapiens	ISTH1096-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821940	KM821940	-	L	Homo sapiens	ISTH1107-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821942	KM821942	-	L	Homo sapiens	ISTH1111-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821944	KM821944	-	L	Homo sapiens	ISTH1121-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821946	KM821946	-	L	Homo sapiens	ISTH1129-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821948	KM821948	-	L	Homo sapiens	ISTH1137-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821950	KM821950	-	L	Homo sapiens	ISTH2010-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821952	KM821952	-	L	Homo sapiens	ISTH2016-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821954	KM821954	-	L	Homo sapiens	ISTH2020-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821956	KM821956	-	L	Homo sapiens	ISTH2025-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821958	KM821958	-	L	Homo sapiens	ISTH2031-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821960	KM821960	-	L	Homo sapiens	ISTH2037-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821962	KM821962	-	L	Homo sapiens	ISTH2042-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821964	KM821964	-	L	Homo sapiens	ISTH2046-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821966	KM821966	-	L	Homo sapiens	ISTH2050-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821968	KM821968	-	L	Homo sapiens	ISTH2057-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821970	KM821970	-	L	Homo sapiens	ISTH2061-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821973	KM821973	-	L	Homo sapiens	ISTH2065-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821975	KM821975	-	L	Homo sapiens	ISTH2066-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821978	KM821978	-	L	Homo sapiens	ISTH2094-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821981	KM821981	-	L	Homo sapiens	ISTH2129-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821983	KM821983	-	L	Homo sapiens	ISTH2217-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821985	KM821985	-	L	Homo sapiens	ISTH2271-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821987	KM821987	-	L	Homo sapiens	ISTH2304-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821989	KM821989	-	L	Homo sapiens	ISTH2312-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821991	KM821991	-	L	Homo sapiens	ISTH2316-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821993	KM821993	-	L	Homo sapiens	ISTH2334-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821995	KM821995	-	L	Homo sapiens	ISTH2358-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821997	KM821997	-	L	Homo sapiens	ISTH2376-NIG-2012	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM821999	KM821999	-	L	Homo sapiens	LASV003-NIG-2008	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822001	KM822001	-	L	Homo sapiens	LASV006-NIG-2008	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822003	KM822003	-	L	Homo sapiens	LASV035-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822005	KM822005	-	L	Homo sapiens	LASV042-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822007	KM822007	-	L	Homo sapiens	LASV045-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822009	KM822009	-	L	Homo sapiens	LASV046-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822011	KM822011	-	L	Homo sapiens	LASV049-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822013	KM822013	-	L	Homo sapiens	LASV052-NIG-2008	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822015	KM822015	-	L	Homo sapiens	LASV056-NIG-2008	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822017	KM822017	-	L	Homo sapiens	LASV058-NIG-2008	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822019	KM822019	-	L	Homo sapiens	LASV063-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822021	KM822021	-	L	Homo sapiens	LASV221-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822024	KM822024	-	L	Homo sapiens	LASV225-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822026	KM822026	-	L	Homo sapiens	LASV229-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822028	KM822028	-	L	Homo sapiens	LASV237-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822030	KM822030	-	L	Homo sapiens	LASV239-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822032	KM822032	-	L	Homo sapiens	LASV241-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822034	KM822034	-	L	Homo sapiens	LASV242-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822036	KM822036	-	L	Homo sapiens	LASV245-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822038	KM822038	-	L	Homo sapiens	LASV246-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822040	KM822040	-	L	Homo sapiens	LASV250-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822042	KM822042	-	L	Homo sapiens	LASV251-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822044	KM822044	-	L	Homo sapiens	LASV253-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822046	KM822046	-	L	Homo sapiens	LASV254-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822048	KM822048	-	L	Homo sapiens	LASV256-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822050	KM822050	-	L	Homo sapiens	LASV263-NIG-2011	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822052	KM822052	-	L	Homo sapiens	LASV267-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822054	KM822054	-	L	Homo sapiens	LASV271-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822056	KM822056	-	L	Homo sapiens	LASV274-NIG-2010	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822058	KM822058	-	L	Homo sapiens	LASV711-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822061	KM822061	-	L	Homo sapiens	LASV719-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822064	KM822064	-	L	Homo sapiens	LASV737-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822068	KM822068	-	L	Homo sapiens	LASV966-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822070	KM822070	-	L	Homo sapiens	LASV967-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822073	KM822073	-	L	Homo sapiens	LASV971-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822075	KM822075	-	L	Homo sapiens	LASV975-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822077	KM822077	-	L	Homo sapiens	LASV976-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822079	KM822079	-	L	Homo sapiens	LASV977-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822081	KM822081	-	L	Homo sapiens	LASV978-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822083	KM822083	-	L	Homo sapiens	LASV979-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822085	KM822085	-	L	Homo sapiens	LASV981-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822087	KM822087	-	L	Homo sapiens	LASV982-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822090	KM822090	-	L	Homo sapiens	LASV989-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822092	KM822092	-	L	Homo sapiens	LASV990-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822094	KM822094	-	L	Homo sapiens	LASV991-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822096	KM822096	-	L	Homo sapiens	LASV992-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822098	KM822098	-	L	Homo sapiens	LASV993-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822100	KM822100	-	L	Homo sapiens	LASV1000-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822102	KM822102	-	L	Homo sapiens	LASV1008-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822104	KM822104	-	L	Homo sapiens	LASV1011-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822106	KM822106	-	L	Homo sapiens	LASV1015-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822108	KM822108	-	L	Homo sapiens	LASV1016-NIG-2009	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822110	KM822110	-	L	Mastomys natalensis	LM032-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822112	KM822112	-	L	Mastomys natalensis	LM222-SLE-2010	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822114	KM822114	-	L	Mastomys natalensis	LM395-SLE-2009	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822116	KM822116	-	L	Mastomys natalensis	LM765-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822119	KM822119	-	L	Mastomys natalensis	LM774-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822121	KM822121	-	L	Mastomys natalensis	LM776-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822123	KM822123	-	L	Mastomys natalensis	LM778-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822125	KM822125	-	L	Mastomys natalensis	LM779-SLE-2012	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822127	KM822127	-	L	-	Pinneo-NIG-1969	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822129	KM822129	-	L	Mastomys natalensis	Z0947-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KM822131	KM822131	-	L	Mastomys natalensis	Z0948-SLE-2011	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KU961972	KU961972	-	L	Homo sapiens	-	TGO	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KU978808	KU978808	-	L	Homo sapiens	-	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KU978809	KU978809	-	L	Homo sapiens	-	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KU978812	KU978812	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KY425626	KY425626	-	L	Homo sapiens	-	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KY425628	KY425628	-	L	Homo sapiens	-	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KY425632	KY425632	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KY425634	KY425634	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KY425640	KY425640	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/KY425651	KY425651	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387469	LC387469	30500827	L	Homo sapiens	-	NGA	-
